year,section_name,block,beneficial_fraction_mean,crop_water_deficit_mean,relative_water_deficit_mean,total_seasonal_biomass_production_mean,seasonal_yield_mean,crop_water_productivity_mean,beneficial_fraction_min,crop_water_deficit_min,relative_water_deficit_min,total_seasonal_biomass_production_min,seasonal_yield_min,crop_water_productivity_min,beneficial_fraction_max,crop_water_deficit_max,relative_water_deficit_max,total_seasonal_biomass_production_max,seasonal_yield_max,crop_water_productivity_max,beneficial_fraction_std,crop_water_deficit_std,relative_water_deficit_std,total_seasonal_biomass_production_std,seasonal_yield_std,crop_water_productivity_std
2018,Thiba,H5,0.73725,0.6302781,0.36972186,15.605334,5.920848,0.95841753,0.5616596,0.39067206,0.1968736,7.1513176,2.713294,0.513456,0.8656475,0.8031264,0.6093279,27.491392,10.430557,1.3499063,0.036143485,0.041289736,0.041289736,4.310547,1.635472,0.23719057
2018,Thiba,H4,0.7257472,0.6540604,0.34593955,15.613245,5.9238496,0.9677848,0.6539071,0.56403357,0.21146059,7.886032,2.9920533,0.5421614,0.8288111,0.7885394,0.43596643,23.3706,8.867081,1.2240802,0.027527085,0.0313713,0.0313713,3.8845212,1.4738331,0.21949777
2018,Thiba,H2,0.73007107,0.6541002,0.3458998,15.337508,5.819231,0.9554973,0.44679576,0.33808047,0.23771596,7.67909,2.913537,0.5367826,0.8057932,0.76228404,0.66191953,21.916447,8.315357,1.2502797,0.028381871,0.031347387,0.031347387,4.0776196,1.5470967,0.23284921
2018,Thiba,H1,0.74913126,0.6727291,0.32727087,17.433327,6.614409,1.0586883,0.49050555,0.2736906,0.19026726,8.048531,3.0537071,0.5615413,0.84787863,0.80973274,0.7263094,24.535866,9.3091955,1.2837036,0.03014194,0.0453337,0.0453337,3.5764952,1.3569642,0.1915354
2018,Thiba,H3,0.726551,0.6384914,0.36150858,14.85198,5.6350164,0.9223817,0.50784826,0.41279697,0.21409285,7.1249285,2.7032816,0.50951236,0.8227413,0.78590715,0.587203,23.3081,8.843367,1.219992,0.036964543,0.043399666,0.043399666,4.434363,1.6824493,0.24545552
2018,Mwea,MIAD,0.7546756,0.6168421,0.38315794,18.841133,7.1485476,1.2495819,0.050803673,0.23515119,0.25263226,0.0,0.0,0.0,0.85143757,0.74736774,0.7648488,23.935871,9.081551,1.441407,0.04308296,0.06325784,0.06325784,2.3928945,0.9078922,0.07827222
2018,Thiba,H19,0.73404616,0.6582122,0.34178787,17.685068,6.7099223,1.0993346,0.37156704,0.25067493,0.24095571,6.2749376,2.3807852,0.5735665,0.80338496,0.7590443,0.74932504,21.828949,8.28216,1.2516665,0.029428402,0.03774698,0.037746977,2.419546,0.9180042,0.12613364
2018,Thiba,H18,0.76540625,0.68959105,0.31040895,18.213541,6.9104323,1.0783768,0.58884543,0.44897407,0.21794009,8.304084,3.150667,0.6104703,0.8279106,0.7820599,0.5510259,24.342812,9.235949,1.2831048,0.023642544,0.036939733,0.036939733,3.726751,1.4139731,0.19915144
2018,Thiba,H20,0.73846114,0.66183937,0.33816075,17.168686,6.5140014,1.0597001,0.28100422,0.22313716,0.1859476,4.8471737,1.8390747,0.563059,0.84809387,0.8140524,0.77686286,25.055305,9.506277,1.349549,0.03940684,0.04675063,0.04675063,3.4624565,1.3136966,0.18373916
2018,Mwea,M14,0.7563326,0.67000425,0.32999572,18.936596,7.184767,1.156387,0.5844075,0.43459773,0.22738934,8.127697,3.0837438,0.5761331,0.8293002,0.77261066,0.56540227,24.046982,9.123708,1.316846,0.025590498,0.030659445,0.030659443,2.0708055,0.785688,0.10138299
2018,Mwea,M16,0.78796136,0.7138878,0.28611225,19.73782,7.4887614,1.1302211,0.14879578,0.20457613,0.18264037,2.7985833,1.0618154,0.5605096,0.8469793,0.8173596,0.79542387,25.003916,9.486779,1.3399358,0.025479946,0.040230583,0.040230583,3.5024996,1.3288895,0.17935349
2018,Mwea,M17A,0.76565,0.67792505,0.32207492,19.371513,7.3497796,1.1694654,0.51792115,0.37661988,0.19364202,8.049919,3.054234,0.56331694,0.84782606,0.806358,0.6233801,24.883083,9.440934,1.3519213,0.031209776,0.040459722,0.040459722,2.303452,0.8739568,0.107929245
2018,Mwea,M13,0.7618158,0.67213273,0.32786727,19.3734,7.3504963,1.1785581,0.5333213,0.37473002,0.17690337,9.286018,3.5232246,0.6303432,0.8817548,0.82309663,0.62527,26.86362,10.192373,1.3764366,0.036509745,0.042575113,0.042575117,2.3917851,0.9074714,0.101706654
2018,Mwea,M11,0.74723744,0.6511042,0.34889573,18.58222,7.0503125,1.1675333,0.40832397,0.2400108,0.22779429,6.7721543,2.569435,0.6103761,0.84773445,0.7722057,0.7599892,24.331701,9.231733,1.3416576,0.038958564,0.04890581,0.048905812,2.3790133,0.9026257,0.10114498
